temperature_celsius,wind_kph,precip_mm,humidity,cluster
27.5,20.5,0.0,67,2
27.5,15.5,0.0,70,2
26.3,18.4,0.0,70,2
25.6,16.9,0.0,76,2
27.2,16.2,0.0,74,2
25.9,15.8,0.0,77,2
28.0,15.1,0.1,70,2
27.7,17.6,0.0,71,2
30.0,18.7,0.0,60,2
26.0,19.1,0.0,74,2
30.6,15.8,0.0,57,1
30.3,8.6,0.1,55,1
28.3,10.8,0.0,67,1
27.2,14.4,0.0,65,1
30.1,18.0,0.0,58,1
26.5,22.7,0.0,64,2
28.4,20.2,0.0,64,2
26.9,18.4,0.0,71,2
26.7,24.1,0.0,66,2
28.1,17.6,0.3,65,2
27.4,20.2,0.0,69,2
27.0,23.8,0.0,66,2
29.9,16.9,0.0,57,1
31.6,20.9,0.0,53,2
32.4,20.5,0.1,50,1
27.3,20.9,0.0,63,2
26.7,17.3,0.0,69,2
28.2,16.2,0.0,64,1
27.0,15.5,0.2,74,2
31.1,20.9,0.0,55,2
28.8,16.6,0.0,64,2
32.0,16.9,0.0,63,1
30.1,14.8,0.0,60,1
28.5,19.8,0.0,61,2
26.9,14.8,0.0,72,2
30.8,17.3,0.0,53,1
27.0,12.2,0.2,72,1
26.9,20.9,0.0,67,2
27.7,21.6,0.0,67,2
30.2,19.1,0.1,59,2
28.6,13.3,0.0,64,1
27.6,11.5,0.2,63,1
27.7,13.0,0.5,68,1
27.6,15.5,0.0,70,2
29.2,19.8,0.0,61,2
20.7,8.3,0.0,59,1
31.8,16.6,0.1,54,1
20.3,10.1,0.0,64,1
30.9,5.8,0.0,51,1
23.8,7.9,0.0,62,1
25.5,4.3,0.0,56,1
30.8,13.0,0.0,57,1
27.2,8.3,1.2,65,1
15.3,4.3,0.0,62,3
22.8,7.2,0.0,45,1
7.1,5.4,0.0,27,3
20.1,4.0,0.1,65,0
18.5,6.5,0.1,70,0
20.0,3.6,0.1,66,0
21.5,3.6,0.1,73,0
32.4,17.3,0.1,49,1
17.8,3.6,0.5,66,3
27.2,9.4,1.2,65,1
27.3,5.4,0.2,68,1
14.2,5.8,0.0,22,3
17.5,3.6,0.1,64,3
28.6,14.8,0.1,69,1
27.8,17.6,0.0,70,2
30.0,13.0,0.0,66,1
31.1,17.6,0.0,52,1
29.9,18.0,0.0,52,1
31.0,15.1,0.0,66,1
31.5,20.2,0.0,44,1
30.3,16.6,0.0,52,1
30.2,22.3,0.0,50,2
29.0,15.1,0.0,75,2
29.6,16.9,0.0,54,1
28.0,19.8,0.0,61,2
29.7,16.6,0.0,56,1
27.7,17.6,0.0,70,2
29.4,23.0,0.0,57,2
27.9,27.0,0.0,71,2
28.4,15.5,0.1,70,2
28.4,16.2,0.1,69,2
29.2,26.3,0.0,59,2
27.7,22.7,0.0,70,2
30.0,24.1,0.0,70,2
28.3,14.0,0.1,71,1
33.0,13.0,0.2,63,1
33.8,15.5,0.0,44,1
32.0,3.6,0.0,54,1
35.3,24.8,0.1,40,1
32.2,16.9,0.0,48,1
32.7,13.7,0.0,51,1
30.9,18.0,0.0,50,1
33.0,13.0,0.0,63,1
33.3,5.4,0.0,46,1
31.0,18.0,0.0,45,1
32.0,25.9,0.0,49,2
33.0,11.2,0.0,47,1
34.0,6.8,0.0,53,1
32.0,6.8,0.0,67,1
30.9,12.2,0.0,56,1
30.0,16.9,0.0,62,1
28.9,10.1,0.1,54,1
32.0,15.1,0.0,67,1
30.6,11.9,0.0,54,1
31.3,10.8,0.0,52,1
28.0,3.6,0.0,54,1
32.2,9.7,0.0,56,1
32.9,10.4,0.0,52,1
32.5,8.6,0.0,47,1
32.8,10.8,0.0,51,1
31.6,9.0,0.0,51,1
31.5,10.8,0.0,52,1
28.9,3.6,0.0,53,1
28.0,14.8,0.0,64,1
34.0,13.0,0.0,71,1
33.2,11.5,0.0,52,1
32.6,7.6,0.0,55,1
32.8,8.6,0.0,57,1
26.6,17.3,0.0,62,2
33.2,13.3,0.0,50,1
32.1,4.7,0.0,60,1
32.5,9.0,0.0,56,1
32.9,9.0,0.1,54,1
31.9,10.4,0.6,59,1
32.7,13.0,0.1,56,1
32.3,5.4,0.1,58,1
32.5,15.5,0.0,53,1
32.4,7.9,0.4,54,1
32.4,8.6,0.2,56,1
32.8,10.8,0.0,54,1
32.2,15.1,0.0,52,1
32.9,11.9,0.0,52,1
33.1,11.9,0.0,52,1
33.2,12.2,0.0,52,1
32.5,13.0,0.0,53,1
33.0,8.6,0.0,54,1
31.0,11.2,0.0,63,1
30.5,6.5,0.0,62,1
33.0,13.7,0.0,46,1
34.0,14.8,0.0,42,1
33.7,11.9,0.0,45,1
32.5,10.8,0.0,52,1
34.3,13.7,0.0,41,1
33.1,14.4,0.0,47,1
33.2,13.3,0.0,43,1
35.1,14.0,0.0,39,1
35.1,15.5,0.0,39,1
34.7,16.2,0.0,40,1
33.1,13.3,0.0,44,1
33.9,13.7,0.0,42,1
31.5,9.0,0.0,56,1
30.1,8.6,0.0,56,1
27.4,3.6,0.1,73,1
27.8,36.7,0.3,80,2
29.0,6.1,0.0,54,1
32.0,17.6,0.0,53,1
12.0,10.8,0.1,72,3
30.9,3.6,0.1,69,1
30.0,15.1,0.0,79,2
31.8,4.0,0.1,63,1
32.0,3.6,0.0,66,1
30.0,6.1,0.6,75,1
28.9,3.6,0.1,75,1
30.0,6.1,0.3,75,1
31.9,7.2,0.4,56,1
24.4,6.8,0.0,73,0
28.7,3.6,0.0,72,1
28.8,5.8,0.2,78,1
29.2,7.9,0.1,74,1
29.0,4.0,0.1,75,1
30.0,6.1,0.0,84,0
30.2,15.1,0.3,66,1
